game_date,season,player_name,team,opponent,home_away,minutes,points,rebounds,assists,threes_made,steals,blocks,turnovers,fga,fgm,fta,ftm,offensive_rebounds,defensive_rebounds,plus_minus,player_key,is_home,_data_source,game_id,player_id,position,starter,played,source
2025-09-08,2025,A'ja Wilson,LVA,CHI,A,32.0,31.0,11.0,2.0,2.0,4.0,3.0,1.0,20.0,12.0,5.0,5.0,3.0,8.0,,a'ja wilson,0,last_good_canonical,401736386.0,3149391.0,C,1.0,1.0,espn
2025-09-10,2025,A'ja Wilson,LVA,CHI,A,25.0,11.0,5.0,4.0,1.0,1.0,3.0,1.0,7.0,3.0,4.0,4.0,1.0,4.0,,a'ja wilson,0,last_good_canonical,401736390.0,3149391.0,C,1.0,1.0,espn
2025-09-12,2025,A'ja Wilson,LVA,LAS,A,33.0,23.0,19.0,4.0,3.0,2.0,4.0,1.0,17.0,9.0,2.0,2.0,5.0,14.0,,a'ja wilson,0,last_good_canonical,401736397.0,3149391.0,C,1.0,1.0,espn
2025-09-15,2025,A'ja Wilson,LVA,SEA,A,30.0,29.0,8.0,2.0,1.0,3.0,2.0,3.0,18.0,10.0,10.0,8.0,0.0,8.0,,a'ja wilson,0,last_good_canonical,401820315.0,3149391.0,C,1.0,1.0,espn
2025-09-17,2025,A'ja Wilson,LVA,SEA,A,38.0,21.0,13.0,5.0,1.0,1.0,2.0,3.0,12.0,7.0,11.0,6.0,1.0,12.0,,a'ja wilson,0,last_good_canonical,401820317.0,3149391.0,C,1.0,1.0,espn
2025-09-19,2025,A'ja Wilson,LVA,SEA,A,37.0,38.0,5.0,3.0,0.0,3.0,2.0,1.0,26.0,14.0,11.0,10.0,0.0,5.0,,a'ja wilson,0,last_good_canonical,401820321.0,3149391.0,C,1.0,1.0,espn
2025-09-21,2025,A'ja Wilson,LVA,IND,A,34.0,16.0,13.0,1.0,0.0,0.0,4.0,3.0,22.0,6.0,5.0,4.0,2.0,11.0,,a'ja wilson,0,last_good_canonical,401820327.0,3149391.0,C,1.0,1.0,espn
2025-09-24,2025,A'ja Wilson,LVA,IND,A,33.0,25.0,9.0,1.0,1.0,5.0,2.0,3.0,18.0,10.0,4.0,4.0,1.0,8.0,,a'ja wilson,0,last_good_canonical,401820331.0,3149391.0,C,1.0,1.0,espn
2025-09-26,2025,A'ja Wilson,LVA,IND,A,38.0,13.0,8.0,4.0,1.0,1.0,3.0,3.0,20.0,6.0,1.0,0.0,0.0,8.0,,a'ja wilson,0,last_good_canonical,401820334.0,3149391.0,C,1.0,1.0,espn
2025-09-28,2025,A'ja Wilson,LVA,IND,A,36.0,31.0,9.0,3.0,0.0,4.0,3.0,3.0,24.0,14.0,6.0,3.0,0.0,9.0,,a'ja wilson,0,last_good_canonical,401820337.0,3149391.0,C,1.0,1.0,espn
