player_name,team,opponent,pitcher_name,lineup_spot,expected_pa,fantasy_points,fantasy_points_p10,fantasy_points_p50,fantasy_points_p90,confidence
Derek Hill,Chicago White Sox,Arizona Diamondbacks,Merrill Kelly,6,4.12,3.91,0.0,3.0,10.0,Medium
Brandon Lockridge,Milwaukee Brewers,Detroit Tigers,Keider Montero,6,4.11,3.89,0.0,3.0,10.0,Medium
Carson Kelly,Chicago Cubs,Philadelphia Phillies,Jesús Luzardo,6,4.08,3.89,0.0,3.0,10.0,Medium
Zach Neto,Los Angeles Angels,Toronto Blue Jays,Patrick Corbin,6,4.09,3.89,0.0,3.0,10.0,Medium
Jac Caglianone,Kansas City Royals,Baltimore Orioles,Shane Baz,6,4.06,3.87,0.0,3.0,10.0,Medium
Daulton Varsho,Toronto Blue Jays,Los Angeles Angels,Jack Kochanowicz,6,4.11,3.87,0.0,3.0,10.0,Medium
Lawrence Butler,Athletics,Seattle Mariners,Luis Castillo,6,4.1,3.87,0.0,3.0,10.0,Medium
Luisangel Acuña,Chicago White Sox,Arizona Diamondbacks,Merrill Kelly,6,4.1,3.86,0.0,3.0,10.0,Medium
Gunnar Henderson,Baltimore Orioles,Kansas City Royals,Kris Bubic,6,4.1,3.85,0.0,2.0,10.0,Medium
Otto Lopez,Miami Marlins,St. Louis Cardinals,Dustin May,6,4.08,3.84,0.0,3.0,10.0,Medium
Isiah Kiner-Falefa,Boston Red Sox,New York Yankees,Luis Gil,6,4.06,3.83,0.0,3.0,10.0,Medium
Alec Burleson,St. Louis Cardinals,Miami Marlins,Chris Paddack,6,4.12,3.82,0.0,3.0,10.0,Medium
Miguel Rojas,Los Angeles Dodgers,San Francisco Giants,Landen Roupp,6,4.11,3.82,0.0,3.0,10.0,Medium
Carson Benge,New York Mets,Minnesota Twins,Simeon Woods Richardson,6,4.03,3.8,0.0,3.0,10.0,Medium
Kyle Tucker,Los Angeles Dodgers,San Francisco Giants,Landen Roupp,6,4.11,3.8,0.0,3.0,10.0,Medium
Cam Smith,Houston Astros,Cleveland Guardians,Parker Messick,6,4.11,3.79,0.0,3.0,10.0,Medium
Luis Robert Jr.,New York Mets,Minnesota Twins,Simeon Woods Richardson,6,4.07,3.79,0.0,3.0,10.0,Medium
Kyle Isbel,Kansas City Royals,Baltimore Orioles,Shane Baz,6,4.05,3.79,0.0,3.0,10.0,Medium
Ian Happ,Chicago Cubs,Philadelphia Phillies,Jesús Luzardo,6,4.07,3.79,0.0,2.0,10.0,Medium
Colson Montgomery,Chicago White Sox,Arizona Diamondbacks,Merrill Kelly,6,4.12,3.77,0.0,2.0,11.0,Medium
Bryson Stott,Philadelphia Phillies,Chicago Cubs,Shota Imanaga,6,4.1,3.75,0.0,3.0,10.0,Medium
