PLAYER_NAME,TEAM,STAT,LINE,IS_REGULAR_HINT,IS_GOBLIN,IS_DEMON,START_TIME_ET,BOARD_TIME_ET,UPDATED_AT_ET
Isaiah Hartenstein,OKC,Assists,4.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:57:29.773000-04:00,2026-05-25T17:10:46.740000-04:00
Isaiah Hartenstein,OKC,Assists - 1st 3 Minutes,0.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T13:03:39.502000-04:00,2026-05-25T22:44:30.498000-04:00
Isaiah Hartenstein,OKC,Blks+Stls,0.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T06:29:26.513000-04:00,2026-05-26T03:32:54.517000-04:00
Isaiah Hartenstein,OKC,Blocked Shots,1.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T01:06:13.093000-04:00,2026-05-25T18:03:40.676000-04:00
Isaiah Hartenstein,OKC,Defensive Rebounds,5.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-20T16:29:00-04:00,2026-05-25T16:29:46.104000-04:00
Isaiah Hartenstein,OKC,Double-Double,0.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:52:13.443000-04:00,2026-05-25T00:06:18.389000-04:00
Isaiah Hartenstein,OKC,Dunks,1.5,False,False,False,2026-05-26T20:40:00-04:00,2026-04-26T20:40:00-04:00,2026-05-25T13:44:48.724000-04:00
Isaiah Hartenstein,OKC,FG Attempted,5.5,True,False,False,2026-05-26T20:40:00-04:00,2026-04-27T20:54:00-04:00,2026-05-25T20:55:52.792000-04:00
Isaiah Hartenstein,OKC,FG Made,2.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-04T20:54:00-04:00,2026-05-25T20:55:01.608000-04:00
Isaiah Hartenstein,OKC,Fantasy Score,21.5,True,False,False,2026-05-26T20:40:00-04:00,2026-04-26T14:09:00-04:00,2026-05-25T14:36:57.113000-04:00
Isaiah Hartenstein,OKC,Free Throws Made,0.5,False,False,False,2026-05-26T20:40:00-04:00,2026-04-27T20:42:00-04:00,2026-05-26T02:17:42.881000-04:00
Isaiah Hartenstein,OKC,Offensive Rebounds,2.0,True,False,False,2026-05-26T20:40:00-04:00,2026-05-04T16:29:00-04:00,2026-05-25T20:07:04.460000-04:00
Isaiah Hartenstein,OKC,Personal Fouls,3.0,True,False,False,2026-05-26T20:40:00-04:00,2026-04-28T08:09:00-04:00,2026-05-26T00:53:57.545000-04:00
Isaiah Hartenstein,OKC,Points,6.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:52:13.968000-04:00,2026-05-25T12:08:46.675000-04:00
Isaiah Hartenstein,OKC,Points - 1st 3 Minutes,3.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T20:42:10.273000-04:00,2026-05-25T20:40:10.350000-04:00
Isaiah Hartenstein,OKC,Pts+Asts,9.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:54:58.213000-04:00,2026-05-25T18:27:59.379000-04:00
Isaiah Hartenstein,OKC,Pts+Rebs,14.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:52:14.584000-04:00,2026-05-24T22:58:24.239000-04:00
